Suburb,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,BuildingArea,CouncilArea,Regionname,Propertycount,StreetType,WeekdaySale,Weekend,MonthSale,AgeBuilding,MeanRoomsArea
Airport West,3,h,VB,Nelson,2016-12-03,13.5,3042,3,2,1,145.0,Moonee Valley,Western Metropolitan,3464,St,5,1,12,51,18.125
Airport West,3,h,SP,Nelson,2017-03-04,13.5,3042,3,2,1,145.0,Moonee Valley,Western Metropolitan,3464,St,5,1,3,52,18.125
Airport West,2,h,S,Nelson,2017-03-04,13.5,3042,2,1,1,84.0,Moonee Valley,Western Metropolitan,3464,St,5,1,3,67,16.8
Airport West,3,t,S,Brad,2017-03-04,13.5,3042,3,2,2,134.0,Moonee Valley,Western Metropolitan,3464,St,5,1,3,8,16.75
Airport West,3,h,S,other,2017-03-04,13.5,3042,2,1,1,116.0,Moonee Valley,Western Metropolitan,3464,Gr,5,1,3,37,19.333333333333332
Airport West,2,u,VB,Barry,2017-03-04,13.5,3042,2,1,1,86.0,Moonee Valley,Western Metropolitan,3464,St,5,1,3,6,17.2
Airport West,3,h,S,Barry,2016-08-06,13.5,3042,2,1,1,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,8,46,21.0
Airport West,4,h,S,other,2016-08-06,13.5,3042,3,1,2,127.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,8,46,15.875
Airport West,6,h,SP,Barry,2016-05-07,13.5,3042,6,3,2,186.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,5,36,12.4
Airport West,2,t,S,Barry,2016-05-07,13.5,3042,2,1,1,90.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,5,1,18.0
Airport West,2,u,S,Barry,2016-11-07,13.5,3042,2,1,1,73.0,Moonee Valley,Western Metropolitan,3464,St,0,0,11,3,14.6
Airport West,2,u,S,Nelson,2016-09-10,13.5,3042,2,1,1,94.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,9,4,18.8
Airport West,3,h,PI,Rendina,2016-09-10,13.5,3042,3,1,6,133.0,Moonee Valley,Western Metropolitan,3464,Ct,5,1,9,41,19.0
Airport West,3,h,S,Nelson,2016-12-10,13.5,3042,3,1,1,105.0,Moonee Valley,Western Metropolitan,3464,St,5,1,12,66,15.0
Airport West,3,u,S,Nelson,2017-02-11,13.5,3042,3,1,1,130.0,Moonee Valley,Western Metropolitan,3464,St,5,1,2,24,18.571428571428573
Airport West,2,u,S,Barry,2016-08-13,13.5,3042,2,1,1,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,8,46,25.2
Airport West,5,h,PI,other,2016-05-14,13.5,3042,3,2,2,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,5,46,12.6
Airport West,3,t,PI,Brad,2016-10-15,13.5,3042,3,2,2,133.0,Moonee Valley,Western Metropolitan,3464,St,5,1,10,7,16.625
Airport West,3,h,S,Barry,2016-04-16,13.5,3042,3,1,2,113.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,4,56,16.142857142857142
Airport West,2,u,S,Barry,2016-07-16,13.5,3042,2,1,1,126.0,Moonee Valley,Western Metropolitan,3464,St,5,1,7,13,25.2
Airport West,3,h,SP,Barry,2016-07-16,13.5,3042,3,2,2,126.0,Moonee Valley,Western Metropolitan,3464,Gr,5,1,7,46,15.75
Airport West,2,h,S,Barry,2016-07-16,13.5,3042,2,1,1,100.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,7,41,20.0
Airport West,3,h,S,Nelson,2016-07-16,13.5,3042,3,2,5,174.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,7,66,21.75
Airport West,3,h,S,McDonald,2016-09-17,13.5,3042,3,1,1,126.0,Moonee Valley,Western Metropolitan,3464,St,5,1,9,46,18.0
Airport West,4,h,S,Brad,2016-09-17,13.5,3042,5,3,4,309.0,Moonee Valley,Western Metropolitan,3464,St,5,1,9,36,25.75
Airport West,3,h,PI,Barry,2017-03-18,13.5,3042,3,3,2,192.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,3,37,21.333333333333332
Airport West,3,h,S,Rendina,2017-03-18,13.5,3042,3,2,2,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,3,22,15.75
Airport West,3,h,S,Nelson,2017-03-18,13.5,3042,3,1,3,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,3,47,18.0
Airport West,3,t,SP,Nelson,2016-06-18,13.5,3042,2,2,1,101.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,6,6,14.428571428571429
Airport West,3,t,SP,Barry,2016-11-19,13.5,3042,3,2,1,102.0,Moonee Valley,Western Metropolitan,3464,St,5,1,11,56,12.75
Airport West,3,h,S,Barry,2016-05-22,13.5,3042,3,1,1,113.0,Moonee Valley,Western Metropolitan,3464,Rd,6,1,5,41,16.142857142857142
Airport West,3,h,S,Barry,2016-08-22,13.5,3042,3,1,1,126.0,Moonee Valley,Western Metropolitan,3464,Rd,0,0,8,46,18.0
Airport West,2,u,S,Nelson,2016-08-22,13.5,3042,2,1,1,76.0,Moonee Valley,Western Metropolitan,3464,St,0,0,8,46,15.2
Airport West,3,h,S,Nelson,2016-08-22,13.5,3042,3,2,1,126.0,Moonee Valley,Western Metropolitan,3464,Rd,0,0,8,46,15.75
Airport West,3,h,S,Brad,2016-04-23,13.5,3042,3,1,2,126.0,Moonee Valley,Western Metropolitan,3464,Rd,5,1,4,46,18.0
Airport West,4,h,S,Nelson,2016-09-24,13.5,3042,4,3,2,126.0,Moonee Valley,Western Metropolitan,3464,Dr,5,1,9,46,11.454545454545455
Airport West,3,h,PI,Nelson,2017-02-25,13.5,3042,3,1,1,126.0,Moonee Valley,Western Metropolitan,3464,St,5,1,2,47,18.0
Airport West,4,h,S,other,2016-11-27,13.5,3042,4,1,2,126.0,Moonee Valley,Western Metropolitan,3464,Rd,6,1,11,46,14.0
Airport West,4,h,S,Harcourts,2016-11-27,13.5,3042,4,2,3,146.0,Moonee Valley,Western Metropolitan,3464,Rd,6,1,11,41,14.6
Albert Park,2,h,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,82.0,Port Phillip,Southern Metropolitan,3280,Rd,5,1,9,116,16.4
Albert Park,2,h,S,Thomson,2016-09-03,3.3,3206,2,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,9,46,25.2
Albert Park,3,h,PI,Buxton,2017-03-04,3.3,3206,3,2,0,198.0,Port Phillip,Southern Metropolitan,3280,Pde,5,1,3,127,24.75
Albert Park,3,h,S,Greg,2017-03-04,3.3,3206,3,2,0,133.0,Port Phillip,Southern Metropolitan,3280,St,5,1,3,127,16.625
Albert Park,2,h,S,RT,2017-03-04,3.3,3206,2,1,0,81.0,Port Phillip,Southern Metropolitan,3280,St,5,1,3,117,16.2
Albert Park,2,h,S,Marshall,2016-08-06,3.3,3206,1,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,8,116,31.5
Albert Park,2,h,S,other,2016-05-07,3.3,3206,2,1,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,5,46,25.2
Albert Park,4,h,S,Marshall,2016-05-07,3.3,3206,4,2,1,180.0,Port Phillip,Southern Metropolitan,3280,St,5,1,5,136,18.0
Albert Park,3,t,VB,Marshall,2016-11-07,3.3,3206,3,2,2,126.0,Port Phillip,Southern Metropolitan,3280,St,0,0,11,46,15.75
Albert Park,3,h,VB,Greg,2016-11-07,3.3,3206,3,2,1,159.0,Port Phillip,Southern Metropolitan,3280,St,0,0,11,20,19.875
Albert Park,2,h,S,Greg,2016-09-10,3.3,3206,2,1,1,107.0,Port Phillip,Southern Metropolitan,3280,St,5,1,9,116,21.4
Albert Park,3,h,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,9,46,18.0
Albert Park,3,h,S,Marshall,2016-09-10,3.3,3206,3,2,1,122.0,Port Phillip,Southern Metropolitan,3280,Pl,5,1,9,116,15.25
Albert Park,2,h,PI,Greg,2016-12-10,3.3,3206,2,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,12,46,25.2
Albert Park,3,h,S,Cayzer,2016-12-10,3.3,3206,3,2,1,181.0,Port Phillip,Southern Metropolitan,3280,Pl,5,1,12,136,22.625
Albert Park,5,h,S,Greg,2016-12-10,3.3,3206,5,2,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,12,46,10.5
Albert Park,3,h,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,12,46,18.0
Albert Park,3,h,S,Greg,2016-06-12,3.3,3206,3,2,2,85.0,Port Phillip,Southern Metropolitan,3280,other,6,1,6,16,10.625
Albert Park,2,h,S,Cayzer,2016-11-12,3.3,3206,2,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,11,46,25.2
Albert Park,3,h,S,Greg,2016-10-15,3.3,3206,3,2,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,10,46,15.75
Albert Park,2,h,S,Greg,2016-10-15,3.3,3206,2,1,0,98.0,Port Phillip,Southern Metropolitan,3280,St,5,1,10,126,19.6
Albert Park,2,h,S,Greg,2016-10-15,3.3,3206,2,1,0,83.0,Port Phillip,Southern Metropolitan,3280,St,5,1,10,126,16.6
Albert Park,3,h,VB,RT,2016-04-16,3.3,3206,3,2,1,147.0,Port Phillip,Southern Metropolitan,3280,St,5,1,4,116,18.375
Albert Park,3,h,S,Greg,2017-03-18,3.3,3206,3,1,0,126.0,Port Phillip,Southern Metropolitan,3280,Rd,5,1,3,117,18.0
Albert Park,3,h,S,Greg,2017-03-18,3.3,3206,3,2,0,146.0,Port Phillip,Southern Metropolitan,3280,St,5,1,3,127,18.25
Albert Park,4,h,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,254.0,Port Phillip,Southern Metropolitan,3280,St,5,1,6,106,23.09090909090909
Albert Park,2,u,S,Greg,2016-05-22,3.3,3206,2,1,1,126.0,Port Phillip,Southern Metropolitan,3280,Rd,6,1,5,46,25.2
Albert Park,3,h,SP,Marshall,2016-04-23,3.3,3206,2,1,1,123.0,Port Phillip,Southern Metropolitan,3280,St,5,1,4,116,20.5
Albert Park,3,h,PI,Marshall,2016-09-24,3.3,3206,3,1,1,131.0,Port Phillip,Southern Metropolitan,3280,St,5,1,9,126,18.714285714285715
Albert Park,1,u,S,Marshall,2017-02-25,3.3,3206,1,1,0,34.0,Port Phillip,Southern Metropolitan,3280,St,5,1,2,47,11.333333333333334
Albert Park,4,h,S,Marshall,2017-02-25,3.3,3206,4,2,1,207.0,Port Phillip,Southern Metropolitan,3280,St,5,1,2,107,20.7
Albert Park,2,h,S,Greg,2017-02-25,3.3,3206,2,1,0,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,2,47,25.2
Albert Park,3,h,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,2,47,18.0
Albert Park,3,h,S,Chisholm,2016-07-26,3.3,3206,3,3,1,126.0,Port Phillip,Southern Metropolitan,3280,Pl,1,0,7,46,14.0
Albert Park,3,h,S,Greg,2016-07-26,3.3,3206,3,2,2,126.0,Port Phillip,Southern Metropolitan,3280,St,1,0,7,46,15.75
Albert Park,4,h,S,Greg,2016-06-27,3.3,3206,3,2,1,145.0,Port Phillip,Southern Metropolitan,3280,St,0,0,6,136,16.11111111111111
Albert Park,2,h,S,Marshall,2016-11-27,3.3,3206,2,1,1,126.0,Port Phillip,Southern Metropolitan,3280,St,6,1,11,46,25.2
Albert Park,2,h,S,Greg,2016-05-28,3.3,3206,2,1,0,68.0,Port Phillip,Southern Metropolitan,3280,St,5,1,5,126,13.6
Albert Park,3,h,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,126.0,Port Phillip,Southern Metropolitan,3280,St,6,1,8,46,15.75
Albert Park,3,h,PI,Marshall,2016-08-28,3.3,3206,3,2,2,134.0,Port Phillip,Southern Metropolitan,3280,St,6,1,8,126,16.75
Albert Park,3,h,VB,Buxton,2016-07-30,3.3,3206,3,3,1,126.0,Port Phillip,Southern Metropolitan,3280,St,5,1,7,46,14.0
Albert Park,1,h,S,Marshall,2016-07-30,3.3,3206,1,1,0,54.0,Port Phillip,Southern Metropolitan,3280,St,5,1,7,116,18.0
Alphington,4,h,S,other,2016-09-03,6.4,3078,3,2,4,263.0,Darebin,Northern Metropolitan,2211,St,5,1,9,86,29.22222222222222
Alphington,3,h,S,Jellis,2016-09-03,6.4,3078,3,2,2,126.0,Yarra,Northern Metropolitan,2211,St,5,1,9,3,15.75
Alphington,3,h,S,Jellis,2017-03-04,6.4,3078,3,2,2,126.0,Darebin,Northern Metropolitan,2211,Rd,5,1,3,47,15.75
Alphington,4,h,S,Collins,2016-10-08,6.4,3078,4,2,1,203.0,Darebin,Northern Metropolitan,2211,St,5,1,10,91,20.3
Alphington,5,h,S,Nelson,2016-06-12,6.4,3078,5,4,4,165.0,Darebin,Northern Metropolitan,2211,Rd,6,1,6,106,11.785714285714286
Alphington,2,u,S,Miles,2016-11-12,6.4,3078,2,1,1,60.0,Darebin,Northern Metropolitan,2211,St,5,1,11,56,12.0
Alphington,2,t,S,Miles,2016-11-12,6.4,3078,2,2,3,140.0,Darebin,Northern Metropolitan,2211,St,5,1,11,12,23.333333333333332
Alphington,2,u,S,McGrath,2016-11-12,6.4,3078,2,1,1,126.0,Darebin,Northern Metropolitan,2211,Rd,5,1,11,46,25.2
Alphington,3,h,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,126.0,Darebin,Northern Metropolitan,2211,Rd,5,1,10,46,14.0
Alphington,3,h,S,Nelson,2016-04-16,6.4,3078,3,1,2,126.0,Darebin,Northern Metropolitan,2211,Rd,5,1,4,46,18.0
Alphington,2,u,S,Nelson,2017-03-18,6.4,3078,2,1,1,126.0,Darebin,Northern Metropolitan,2211,Rd,5,1,3,47,25.2
Alphington,4,h,S,Nelson,2016-11-19,6.4,3078,4,2,2,112.0,Darebin,Northern Metropolitan,2211,St,5,1,11,46,11.2
Alphington,4,h,S,Nelson,2016-11-19,6.4,3078,4,2,2,271.0,Darebin,Northern Metropolitan,2211,St,5,1,11,8,27.1
Alphington,3,h,SP,hockingstuart,2016-05-22,6.4,3078,3,1,1,131.0,Darebin,Northern Metropolitan,2211,St,6,1,5,6,18.714285714285715
Alphington,2,u,VB,Nelson,2016-05-22,6.4,3078,2,1,1,60.0,Darebin,Northern Metropolitan,2211,Rd,6,1,5,56,12.0
Alphington,2,t,SP,other,2016-09-24,6.4,3078,0,1,0,126.0,Yarra,Northern Metropolitan,2211,other,5,1,9,46,42.0
Alphington,2,u,S,Love,2017-02-25,6.4,3078,2,1,1,61.0,Darebin,Northern Metropolitan,2211,Rd,5,1,2,52,12.2
Alphington,3,h,S,Barry,2016-06-27,6.4,3078,3,1,2,126.0,Yarra,Northern Metropolitan,2211,St,0,0,6,46,18.0
Alphington,4,h,SP,McGrath,2016-11-27,6.4,3078,4,2,2,272.0,Yarra,Northern Metropolitan,2211,Gr,6,1,11,86,27.2
Alphington,3,h,SP,McGrath,2016-08-28,6.4,3078,3,0,0,126.0,Darebin,Northern Metropolitan,2211,Rd,6,1,8,46,21.0
Alphington,4,h,S,Jellis,2016-07-30,6.4,3078,4,2,3,210.0,Darebin,Northern Metropolitan,2211,St,5,1,7,96,21.0
Altona,3,h,VB,Greg,2016-09-03,13.8,3018,3,2,1,242.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,9,1,30.25
Altona,5,h,S,Greg,2016-12-03,13.8,3018,5,3,3,268.0,Hobsons Bay,Western Metropolitan,5301,Gr,5,1,12,11,20.615384615384617
Altona,2,t,S,hockingstuart,2016-02-04,13.8,3018,2,1,2,125.0,Hobsons Bay,Western Metropolitan,5301,St,3,0,2,3,25.0
Altona,3,h,S,other,2017-03-04,13.8,3018,3,1,2,120.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,3,87,17.142857142857142
Altona,4,h,PI,Sweeney,2016-06-04,13.8,3018,4,1,4,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,6,46,14.0
Altona,4,h,SP,Greg,2016-06-04,13.8,3018,4,3,6,220.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,6,54,20.0
Altona,3,u,S,other,2016-08-06,13.8,3018,2,1,2,94.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,8,61,15.666666666666666
Altona,2,u,SP,hockingstuart,2016-08-06,13.8,3018,2,1,1,126.0,Hobsons Bay,Western Metropolitan,5301,Pde,5,1,8,46,25.2
Altona,3,h,VB,Greg,2016-05-07,13.8,3018,3,1,1,123.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,61,17.571428571428573
Altona,3,h,S,Greg,2016-11-07,13.8,3018,3,1,1,126.0,Hobsons Bay,Western Metropolitan,5301,Ct,0,0,11,46,18.0
Altona,2,u,S,other,2016-10-08,13.8,3018,2,1,1,93.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,10,28,18.6
Altona,3,h,S,hockingstuart,2016-10-08,13.8,3018,3,1,4,22.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,10,63,3.142857142857143
Altona,3,t,SP,hockingstuart,2016-10-08,13.8,3018,3,2,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,10,19,15.75
Altona,2,u,S,Village,2016-09-10,13.8,3018,2,1,1,76.0,Hobsons Bay,Western Metropolitan,5301,Pde,5,1,9,26,15.2
Altona,4,h,S,other,2016-09-10,13.8,3018,4,2,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,9,46,12.6
Altona,2,u,S,hockingstuart,2016-09-10,13.8,3018,2,1,2,57.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,9,36,11.4
Altona,3,u,S,Jas,2016-12-10,13.8,3018,3,2,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,12,46,15.75
Altona,3,t,S,hockingstuart,2017-02-11,13.8,3018,3,2,2,152.0,Hobsons Bay,Western Metropolitan,5301,Ct,5,1,2,47,19.0
Altona,2,u,SP,Greg,2017-02-11,13.8,3018,2,1,1,65.0,Hobsons Bay,Western Metropolitan,5301,Rd,5,1,2,52,13.0
Altona,2,u,SP,hockingstuart,2017-02-11,13.8,3018,2,1,1,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,2,47,25.2
Altona,4,h,S,hockingstuart,2017-02-11,13.8,3018,4,1,2,130.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,2,67,14.444444444444445
Altona,3,t,SP,other,2016-11-12,13.8,3018,3,2,2,176.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,11,46,22.0
Altona,3,u,SP,other,2016-08-13,13.8,3018,3,2,1,141.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,8,2,17.625
Altona,3,h,S,Sweeney,2016-05-14,13.8,3018,3,1,4,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,56,18.0
Altona,2,u,SP,hockingstuart,2016-05-14,13.8,3018,2,1,1,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,46,25.2
Altona,2,u,S,Burnham,2016-10-15,13.8,3018,2,1,1,77.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,10,26,15.4
Altona,3,u,SP,other,2016-04-16,13.8,3018,3,2,1,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,4,46,15.75
Altona,3,h,S,hockingstuart,2016-04-16,13.8,3018,3,1,2,87.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,4,66,12.428571428571429
Altona,2,u,PI,Biggin,2016-07-16,13.8,3018,2,2,1,76.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,7,3,12.666666666666666
Altona,3,h,S,hockingstuart,2016-09-17,13.8,3018,3,1,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,9,46,18.0
Altona,3,h,SP,Greg,2017-03-18,13.8,3018,3,2,2,136.0,Hobsons Bay,Western Metropolitan,5301,Dr,5,1,3,52,17.0
Altona,3,h,S,other,2016-11-19,13.8,3018,3,1,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,11,46,18.0
Altona,3,t,S,hockingstuart,2016-05-22,13.8,3018,3,2,0,126.0,Hobsons Bay,Western Metropolitan,5301,Ct,6,1,5,46,15.75
Altona,3,h,PI,other,2016-08-22,13.8,3018,3,3,1,126.0,Hobsons Bay,Western Metropolitan,5301,St,0,0,8,46,14.0
Altona,3,u,S,Williams,2016-04-23,13.8,3018,3,2,1,113.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,4,9,14.125
Altona,4,h,S,other,2017-02-25,13.8,3018,4,1,0,126.0,Hobsons Bay,Western Metropolitan,5301,Rd,5,1,2,47,14.0
Altona,3,u,S,other,2017-02-25,13.8,3018,3,1,2,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,2,47,18.0
Altona,3,h,S,other,2016-06-27,13.8,3018,3,2,2,126.0,Hobsons Bay,Western Metropolitan,5301,Dr,0,0,6,46,15.75
Altona,2,h,SP,hockingstuart,2016-11-27,13.8,3018,2,2,1,100.0,Hobsons Bay,Western Metropolitan,5301,St,6,1,11,66,16.666666666666668
Altona,3,h,S,other,2016-05-28,13.8,3018,3,1,1,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,46,18.0
Altona,3,u,SP,other,2016-05-28,13.8,3018,3,2,1,3.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,2,0.375
Altona,3,h,S,Sweeney,2016-05-28,13.8,3018,3,1,4,126.0,Hobsons Bay,Western Metropolitan,5301,St,5,1,5,46,18.0
